source,node_id,name,level,parent_id,part,head,chapter,committee_type,topic_type,creation,purpose,character,composition,appointment,secretariat,Place of the Advisory and Technical Committee,Organs,notes,,
p. 61,S-III-II-IV-DRAW,"Sub-Committee of Experts to draw up the List of Drugs and Preparations coming under the Hague (1912) and Geneva (1925) Opium Conventions and the Limitation Convention (Geneva, 1931)",subcommittee,C-III-II-IV-OP,III,II,Opium and Other Narcotic Drugs,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,As defined by the name of the Sub-Committee.,"Composed of members appointed in an individual
capacity.",,,,,,,,
p. 62,C-III-II-V-HO,Health Organisation,committee,,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,"Article 23 of the Covenant of the League of Nations reads as
follows :
""Subject to and in accordance with the provisions of international conventions existing or hereafter to be agreed upon,
the Members of the League.. .
""(f) will endeavour to take steps in matters of international
concern for the prevention and control of disease.""
The Permanent Health Organisation of the League of Nations,
following on a provisional organisation set up in 1921, was established
by a Council resolution of July 7th, 1923, and an Assembly resolution
of September 15th, 1923.
It was modified by a Council resolution of September 26th, 1936.
The League of Nations Health Organisation comprises the following
bodies :
1. The Health Committee.
2. The General Advisory Health Council.
3. The Health Section of the Secretariat of the League of Nations.
4. The Advisory Committee of the Eastern Bureau.",,
p. 62-63,S-III-II-V-HC,Health Committee,subcommittee,C-III-II-V-HO,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,"A provisional Committee was set up by the Council in 1921.
A definitive Committee was constituted in virtue of a Council
resolution of July 7th, 1923,4 and an Assembly resolution dated
September 15th, 1923.5
The constitution and working of the Committee are governed
by a Council resolution of September 26th, 1936.","The direction of the health work of the League of Nations. The Health Committee is the advisory and technical organ of
the Council and Assembly.",Composed of members appointed in an individual capacity.,"Twelve members, and certain associate members.","(a) Member ex officio.—The President of the Permanent Committee of the Offce international d'Hygiène publique (who is ex officio
Vice-President of the Committee).
(b) Appointed members.—Eleven members appointed by the
Council of the League of Nations, ""these members necessarily including the representatives of the principal national health administrations"".
Duration of term of office of members: three years.",,,,,,
p. 63,SS-III-II-V-OP,The Sub-Committees of the Health Committee: Opium Sub-Committee,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-EAST,The Sub-Committees of the Health Committee: Sub-Committee for the Study of the Report and the Budget of the Eastern Bureau,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-BIO,Technical Commissions: Permanent Commission on Biological Standardisation,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-MA,Technical Commissions: Malaria Commission,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-NUT,Technical Commissions: The Technical Commission on Nutrition,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-HOU,Technical Commissions: Commission on Housing,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-PE,Technical Commissions: Committee on Physical Education,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-CAN,Technical Commissions: Advisory Committee on the Enquiry into the Radiological Treatment of Cancer of the Uterus,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 63,SS-III-II-V-SP,Special Committee for co-ordination between the Advisory Committee on Social Questiond and the Health Committee,subsubcommittee,S-III-II-V-HC,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 64,S-III-II-V-GAHC,The General Advisory Health Council,subcommittee,C-III-II-V-HO,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,"The functions of the General Advisory Health Council are
entrusted to the Permanent Committee of the Office international
d'Hygiène publique, which is autonomous.
The annual Assembly of the General Advisory Health Council
is composed of the members of the Permanent Committee of the
Office international d'Hygiène publique with, in addition, the representatives of the States Members of the League of Nations which do
not belong to the Office international d'Hygiène publique.
The members of the Health Council are ex officio members of
this annual Assembly.",,
p. 64,S-III-II-V-HS,The Health Section of the Secretariat of the League of Nations,subcommittee,C-III-II-V-HO,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,"The Health Section of the Secretariat of the League of Nations
(including the Eastern Bureau at Singapore) constitutes the Secretariat of the Health Organisation of the League.",,
p. 64,S-III-II-V-EB,The Advisory Committee of the Eastern Bureau,subcommittee,C-III-II-V-HO,III,II,Health,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,"Resolution of the Assembly, September 20th, 1924.
Conference of representatives of Far-Eastern Governments at
Singapore (February 1925).","Extension to the Far East of the work of the Health Organisation,
particularly in the field of epidemiological intelligence.
The decisions of the Committee must be approved by the Health
Committee.","(a) Consists of representatives of each of the following countries, or groups of countries: Australia, British Colonies and Dependencies, China, India, Netherlands East Indies, Indo-China and
other French Colonies, Thailand.
On May 23rd, 1939, the Council of the League of Nations allotted
a seat to Burma.
On November 24th, 1939, the Health Committee submitted to
the Council a recommendation 3 for the allotment of a seat to the
Philippines. The Council did not take a decision on this matter
during its session in December 1939.
(b) The representatives are delegates of Public Health Services.
They have no power to commit their Governments.",,,,,,,,
p. 65-66,C-III-II-VI-SQ,Advisory Committee on Social Questions,committee,,III,II,Social and Humanitarian Questions,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,"Recommendation of the International Conferenceon Traffic in
Women and Children (June 1921).
In pursuance of this recommendation, the Council set up, on
January 14th, 1922, the ""Advisory Committee on the Traffic in
Women and Children"".
The Committee was subsequently reconstituted under the name
of ""Advisory Committee on Traffic in Women and Protection of
Children"" 3, after the transfer to the League of Nations of the work
of the International Association for the Promotion of Child Welfare.
The Commission adopted later the name of ""Advisory Commission for the Protection and Welfare of Children and Young
People"" (Resolution of the Council, June 9th, 1925).
The present organisation of the Advisory Committee on Social
Questions was determined in a resolution of the Council of September 26th, 1936. This resolution gave the Committee its present title.
It does away with the subdivision into two Committees (Traffic
in Women Committee and Child Welfare Committee) which existed
formerly. The powers and duties of the Committee were not in any
way affected by this change.","Supervision of international agreements with regard to the traffic
in women and children and the traffic in obscene publications, and
the study of all international questions relating thereto.","Composed of Government representatives.
The Committee appoints also assessors and experts for the study
of particular problems.
The Council designates international associations as associated
or corresponding members.",The number of Governments represented on the Committee is twenty-five.,"(a) The Governments are designated for three years. These
Governments appoint their own representatives.
(b) The corresponding members are appointed for three years.",,,,"Note: As already stated on page 63 (6 b), a special Committee for coordination between the Advisory Committee on Social Questions
and the Health Committee was set up in 1938 by a decision of
the Assembly.",,
p. 67,C-III-II-VI-ES,Advisory Committee of Experts on Slavery,committee,,III,II,Social and Humanitarian Questions,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,"Resolution of the Assembly, October 12th, 1932.
The Committee's Rules of Procedure were approved by the Council on January 19th, 1934.2 Amended by the Council on May 13th,
1936.",To study the question of slavery.,Composed of members appointed in an individual capacity.,Seven members.,"(a) By the Council.
(b) For three years.",,,,,,
p. 68-69,C-III-II-VI-REF,League of Nations High Commissioner for Refugees,committee,,III,II,Social and Humanitarian Questions,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,"Resolution of the Assembly of the League of Nations of September 30th, 1938.","The international protection of the so-called ""Nansen"" refugees
and of refugees from Germany.",Appointed in an individual capacity.,,"(a) The High Commissioner is appointed by the Assembly.
(b) He was appointed for five years as from January 1st, 1939.",,,,,,
p. 70,C-III-II-VII-IC,International Committee on Intellectual Co-operation,committee,,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 70,S-III-II-VII-EXEC,Executive Committee of the International Committee on Intellectual Co-operation.,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,"Set up by the Committee at its twelth session
(July 1930) and approved by the Council on September 9th,
1930.","To watch over the whole organisation and see
that the decisions of the Committee are carried out between
its meetings","Eight members, as follows: five members
chosen from among the members of the Committee (including
the Chairman) and three members chosen outside the Committee; these latter attend in an advisory capacity only.",,,,,,,,
p. 71,S-III-II-VII-IC,Committee of Experts: Advisory Committee on the Teaching of the Principles and Facts of Intellectual Co-operation,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-AL,Committee of Experts: Permanent Committee on Arts and Letters,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-DC,Committee of Experts: Directors' Committee of the International Museums Office,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-HA,Committee of Experts: Directors' Committee of the Institutes of Archaeology and of the History of Art,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-HM,Committee of Experts: International Commission on Historical Monuments,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-SA,Committee of Experts: Committee of Scientific Advisers,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-AE,Committee of Experts: Committee of Architectural Experts,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-HE,Committee of Experts: Committee of Directors of Higher Education,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-LE,Committee of Experts: Committee of Library Experts,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-EXA,Committee of Experts: Committee of Expert Archivists,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-JAP,Committee of Experts: Publication Committee for the Japanese Collection,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-IBE,Committee of Experts: Publication Committee for the Ibero-American Collection,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-IR,Committee of Experts: Committee on Intellectual Rights,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-FA,Committee of Experts: International Committee for Folk Arts,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-ISC,International Studies Conference,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 71,S-III-II-VII-ICOP,National Committees on Intellectual Co-operation,subcommittee,C-III-II-VII-IC,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,,,
p. 72,C-III-II-VII-IIIC,International Institute of Intellectual Co-Operation,committee,,III,II,Intellectual Co-operation,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,,,,,,,,,"I. Creation.
Resolution of the Council, September 9th, 1924.
Resolution of the Assembly, September 23rd, 1924.
Letter from the French Government dated December 8th, 1924.
Resolution of the Council, December 13th, 1924.
II. Organs of the Institute.
These are:
(a) The Governing Body.
(b) The Committee of Directors.
(c) The Director of the Institute.
III. The Governing Body.
1. Purpose.
This is the supreme authority of the Institute.
2. Character.
Composed of members appointed in an individual capacity.
3. Composition.
The members are the members of the League of Nations
International Committee on Intellectual Co-Operation.
4. Term of appointment of members.
They cease to belong to the Governing Body on ceasing to
be members of the International Committee on Intellectual Cooperation.
IV. The Committee of Directors.
1. Composition.
Five members with, in addition, the Chairman of the Governing Body.
2. Character.
Composed of members appointed in an individual capacity.
3. Appointment.
(a) Appointed by the Governing Body.
(b) Appointed for two years.",,
p. 73,C-III-II-VIII-CHIN,Council Committee for Technical Collaboration between the League of Nations and China,committee,,III,II,Technical Collaboration with a Particular Country,Part III: Committees set up under Resolutions of the Council or the Assembly for Purposes within the Competence of the League of Nations,Head II. International Co-Operation outside the Political Sphere,"The Council appointed this Committee in pursuance of a proposal
made by the Secretary-General on July 3rd, 1933","To examine the request made by the Chinese Government with
a view to ensuring more continuous co-operation between the League
of Nations and the National Economic Council and to take all
measures necessary for that purpose.",The members are Government representatives.,"Composed of representatives of States Members of the Council
of the League of Nations designated by the Council. Such States
cease to be members on ceasing to be Members of the Council.
There were, originally, eight members and, in addition, the
President of the Council of the League of Nations, who was Chairman
of the Committee.
The Council has, moreover, authorised the Committee to invite
other States to appoint representatives to sit on the Committee.","(a) The Governments appoint their own representatives.
(b) Term of office: membership of the Committee ceases with
membership of the Council.",,,,,,
